ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2012-01-01,-26.04786,-50.55020236480062,14.245447408026566,-26.04786,-26.04786,-0.24013662601642272,-0.24013662601642272,-0.24013662601642272,-0.24013662601642272,-0.24013662601642272,-0.24013662601642272,0.0,0.0,0.0,-19.792814784651863
2015-01-01,3.575859735341097,-31.572344691236662,33.85562453973475,3.575859735341097,3.575859735341097,-0.5085744564525095,-0.5085744564525095,-0.5085744564525095,-0.5085744564525095,-0.5085744564525095,-0.5085744564525095,0.0,0.0,0.0,1.7572688140895838
2016-01-01,13.4414233338433,-21.79425973111382,39.8315135964267,13.4414233338433,13.4414233338433,-0.24013662601632083,-0.24013662601632083,-0.24013662601632083,-0.24013662601632083,-0.24013662601632083,-0.24013662601632083,0.0,0.0,0.0,10.213645285597124
2017-01-01,23.3340158731585,-33.45920908120774,30.72766405726396,23.3340158731585,23.3340158731585,-1.0437813397862992,-1.0437813397862992,-1.0437813397862992,-1.0437813397862992,-1.0437813397862992,-1.0437813397862992,0.0,0.0,0.0,-1.0215944775216506
2018-01-01,33.19957947092978,-26.364090065400983,39.54542442091502,33.19957947092978,33.19957947092978,-0.7765647999996912,-0.7765647999996912,-0.7765647999996912,-0.7765647999996912,-0.7765647999996912,-0.7765647999996912,0.0,0.0,0.0,7.4179546790133415
2019-01-01,43.06514306921806,-13.356140842283695,55.238516794006195,43.06514306921806,43.06514306921806,-0.5085744564510793,-0.5085744564510793,-0.5085744564510793,-0.5085744564510793,-0.5085744564510793,-0.5085744564510793,0.0,0.0,0.0,21.16331134080252
2020-01-01,52.93070666718716,4.705542642615199,73.85950946385678,52.93070666718716,52.93070666718716,-0.2401366260160795,-0.2401366260160795,-0.2401366260160795,-0.2401366260160795,-0.2401366260160795,-0.2401366260160795,0.0,0.0,0.0,40.220105355482026
2021-01-01,62.823299206659605,-35.799706669386495,30.419649901207432,62.823299206659605,62.823299206659605,-1.0437813397858036,-1.0437813397858036,-1.0437813397858036,-1.0437813397858036,-1.0437813397858036,-1.0437813397858036,0.0,0.0,0.0,-2.7504882090319676
2022-01-01,72.68886280501351,-17.289548953716874,49.47342156084526,72.68886280501351,72.68886280501351,-0.7765647999974753,-0.7765647999974753,-0.7765647999974753,-0.7765647999974753,-0.7765647999974753,-0.7765647999974753,0.0,0.0,0.0,16.241250598794274
2023-01-01,82.55442640336742,9.120607424392004,72.21278889962787,82.55442640336742,82.55442640336742,-0.5085744564499292,-0.5085744564499292,-0.5085744564499292,-0.5085744564499292,-0.5085744564499292,-0.5085744564499292,0.0,0.0,0.0,40.56935386773915
2024-01-01,92.41999000172133,38.11939885235968,102.30474742924865,92.41999000172133,92.41999000172133,-0.24013662601849342,-0.24013662601849342,-0.24013662601849342,-0.24013662601849342,-0.24013662601849342,-0.24013662601849342,0.0,0.0,0.0,70.22656542604507
2024-12-31,102.28555360007525,75.34945015578266,137.49146657196442,102.28555350181595,102.28555369443677,0.02842178318824512,0.02842178318824512,0.02842178318824512,0.02842178318824512,0.02842178318824512,0.02842178318824512,0.0,0.0,0.0,105.19269142778622
2025-12-31,112.15111719842915,114.18640258761076,177.8001148043774,112.15111690353706,112.15111748032383,0.296773744132685,0.296773744132685,0.296773744132685,0.296773744132685,0.296773744132685,0.296773744132685,0.0,0.0,0.0,145.43462415807053
2026-12-31,122.01668079678306,159.38546526343833,225.61971844493922,122.01668020382478,122.01668133190218,0.5645925833404312,0.5645925833404312,0.5645925833404312,0.5645925833404312,0.5645925833404312,0.5645925833404312,0.0,0.0,0.0,190.9063938184636
