ds,y,yhat,yhat_lower,yhat_upper,residual,residual_pct,z_score,is_anomaly,severity,anomaly_type
2012-01-01,1,-19.792814784651863,-50.55020236480062,14.245447408026566,20.792814784651863,-110.64236530247402,1.2077359230818743,False,0.0,normal
2015-01-01,1,1.7572688140895838,-31.572344691236662,33.85562453973475,-0.7572688140895838,-27.464453600604937,-0.03182100528514798,False,0.0,normal
2016-01-01,2,10.213645285597124,-21.79425973111382,39.8315135964267,-8.213645285597124,-73.24687981834758,-0.46071043735722605,False,0.0,normal
2017-01-01,3,-1.0215944775216506,-33.45920908120774,30.72766405726396,4.021594477521651,-18623.254364406883,0.24305835078294125,False,0.0,normal
2018-01-01,1,7.4179546790133415,-26.364090065400983,39.54542442091502,-6.4179546790133415,-76.24125959021654,-0.35742263699228904,False,0.0,normal
2019-01-01,6,21.16331134080252,-13.356140842283695,55.238516794006195,-15.163311340802519,-68.41627186316224,-0.8604539775201078,False,0.0,normal
2020-01-01,7,40.220105355482026,4.705542642615199,73.85950946385678,-33.220105355482026,-80.59199526297172,-1.8990775180013764,False,0.0,normal
2021-01-01,1,-2.7504882090319676,-35.799706669386495,30.419649901207432,3.7504882090319676,-214.25384013903263,0.22746436703385994,False,0.0,normal
2022-01-01,5,16.241250598794274,-17.289548953716874,49.47342156084526,-11.241250598794274,-65.19974020666693,-0.6348577498323159,False,0.0,normal
2023-01-01,60,40.56935386773915,9.120607424392004,72.21278889962787,19.430646132260847,46.74271867222946,1.1293842274636603,False,0.0,normal
2024-01-01,95,70.22656542604507,38.11939885235968,102.30474742924865,24.77343457395493,34.78117248216513,1.4367004566261272,False,0.0,normal
